CATEGORY,SHORT_DESCRIPTION,LONG_DESCRIPTION,similarity_score,query
tops,Round Neck,Woman Round Neck of the brand Twinset. Producer ID: 241TT321100006,0.33861536,Visited https://www.businessinsider.com/shivon-zilis-reported-mother-elon-musk-twins-2022-7?amp
jeans,Skinny,Woman Skinny of the brand Mother. Producer ID: 103951085AHTR,0.328274,Visited https://www.businessinsider.com/shivon-zilis-reported-mother-elon-musk-twins-2022-7?amp
watches,Fm1G085L0041 Mother Of Pearl Dial Calfskin Leather Watch,Ferre Milano FM1G085L0041 Mens White MOP Dial Calfskin Leather Watch,0.28352788,Visited https://www.businessinsider.com/shivon-zilis-reported-mother-elon-musk-twins-2022-7?amp
tops,Etza Blurred T-Shirt,"Etza blurred t-shirt by Acne Studios.. Featuring:. Cotton fabric. Relaxed fit. Crew neck with ribbed collar. Short sleeves with folded cuffs. Faded wash. Subtle Acne Studios logo on the chest. Model is 1,72m and wears size S.. Gender: Women. Material: 100% COTTON. Color: FADED GRAY. Made in: PT. Product ID: 24ACL0302#DJO105. *Import tax/duty will be calculated at checkout (If applicable)",0.2820671,Visited https://www.businessinsider.com/shivon-zilis-reported-mother-elon-musk-twins-2022-7?amp
pants,Chino,Woman Chino of the brand Jejia. Producer ID: 2080512150,0.2805202,Visited https://www.businessinsider.com/shivon-zilis-reported-mother-elon-musk-twins-2022-7?amp
coats,Zorinah,"Designed to combat the harshest winter weather, Seraphine's Sub-Zero 3 in 1 Maternity Parka comes with a zip on kangaroo pouch for babywearing. Seraphine - Stylish maternity clothes for your pregnancy & beyond.",0.34390998,Visited Elon Musk and Shivon Zilis privately welcome third baby – NBC10 ...
boots,Julian,"Miz Mooz Women's Julian, Grey, 40 M EU (9-9.5 US).",0.33561572,Visited Elon Musk and Shivon Zilis privately welcome third baby – NBC10 ...
shorts,Ricky Sn Shrt Cln Hem Zig Zag,"Brand new, authentic True Religion.",0.32939333,Visited Elon Musk and Shivon Zilis privately welcome third baby – NBC10 ...
shirts,Zigzag Shirt Sn34,MISSONI Missoni ZigZag Shirt Sn34,0.31577533,Visited Elon Musk and Shivon Zilis privately welcome third baby – NBC10 ...
shirts,Ekyno 10260730 01,Hugo ekyno 10260730 01.,0.30682486,Visited Elon Musk and Shivon Zilis privately welcome third baby – NBC10 ...
shirts,Ekyno 10260730 01,Hugo ekyno 10260730 01.,0.39189756,Searched for elon musk shivon zilis
shirts,Zigzag Shirt Sn34,MISSONI Missoni ZigZag Shirt Sn34,0.3785935,Searched for elon musk shivon zilis
knitwear,Sweatshirts,Man Sweatshirts of the brand Zanone. Producer ID: 812586Z1346Z0542,0.3714585,Searched for elon musk shivon zilis
dresses,Mutka Dress,Woman Midi Dresses of the brand Pierre Louis Mascia. Producer ID: BRMUTKA.12365,0.35709038,Searched for elon musk shivon zilis
shirts,L-jon-kent-c1-233 10109654 01,Boss l-jon-kent-c1-233 10109654 01.,0.35700643,Searched for elon musk shivon zilis
flats,Golden Glow Jn42,Ugg Ugg Golden Glow Jn42,0.28039664,1 notification
necklaces,Silence + Noise Split Fish Pendant Necklace,A cute fish charm tops this necklace from Silence + Noise. Fine chain link constrctuion with a lobster clasp fastening. Only at UO.,0.2747696,1 notification
bracelets,Silence + Noise Antique Charm Bracelet,Statement charm necklace from Silence + Noise. Gold-tone chain link construction complete with a jumble of mixed charms. Only at UO.,0.26226673,1 notification
sweats,Salbo 10256713 01,Boss Salbo 10256713 01,0.25951576,1 notification
jackets,C_palassy 10239121 01,Boss c_palassy 10239121 01.,0.2586726,1 notification
wallets,Fg Florence Sn43,FERRAGAMO FG Florence Sn43,0.37383184,Searched for bank station fire alert
wallets,Mount Street Ld99,Radley mount street ld99.,0.29148328,Searched for bank station fire alert
flats,Birkenstock Birkenstock,BIRKENSTOCK Birkenstock - Sandals - 440995 - Burnt,0.26949203,Searched for bank station fire alert
tops,Fegan 10213028 01,Boss Boss Fegan 10213028 01,0.2674263,Searched for bank station fire alert
wallets,Wallet,Wallet ferragamo men colour black.,0.26160857,Searched for bank station fire alert
